H1	H2	H3	nABBA	nBABA	Dstat	jackEst	SE	Z	
TIL07_FC6162DAAXX.bam	TIL17_FC6153UAAXX.bam	TIL11_FC61694AAXX.bam	426	473	-0.05228031	-0.05228031	0.0430282	-1.215025	
TIL09_FC61694AAXX.bam	TIL17_FC6153UAAXX.bam	TIL11_FC61694AAXX.bam	479	409	0.07882883	0.07882883	0.04282419	1.840755	
TIL15_FC6144GAAXX.bam	TIL17_FC6153UAAXX.bam	TIL11_FC61694AAXX.bam	514	390	0.1371681	0.1371681	0.04138283	3.314615	
TIL16_FC6153UAAXX.bam	TIL17_FC6153UAAXX.bam	TIL11_FC61694AAXX.bam	229	283	-0.1054688	-0.1054688	0.05136671	-2.053251	
TIL01_435BCAAXX.bam	TIL03.bam	TIL15_FC6144GAAXX.bam	740	905	-0.100304	-0.100304	0.03105832	-3.229535	
TIL01_435BCAAXX.bam	TIL04-TIP454.bam	TIL15_FC6144GAAXX.bam	883	658	0.1460091	0.1460091	0.03354429	4.352726	
TIL03.bam	TIL04-TIP454.bam	TIL15_FC6144GAAXX.bam	1318	775	0.2594362	0.2594362	0.02897784	8.952918	
TIL01_435BCAAXX.bam	TIL07_FC6162DAAXX.bam	TIL15_FC6144GAAXX.bam	779	729	0.0331565	0.0331565	0.03348295	0.9902501	
TIL03.bam	TIL07_FC6162DAAXX.bam	TIL15_FC6144GAAXX.bam	1166	866	0.1476378	0.1476378	0.03092136	4.774622	
TIL04-TIP454.bam	TIL07_FC6162DAAXX.bam	TIL15_FC6144GAAXX.bam	815	1048	-0.1250671	-0.1250671	0.0314378	-3.97824	
TIL01_435BCAAXX.bam	TIL09_FC61694AAXX.bam	TIL15_FC6144GAAXX.bam	959	816	0.08056338	0.08056338	0.03195405	2.521226	
TIL03.bam	TIL09_FC61694AAXX.bam	TIL15_FC6144GAAXX.bam	1226	757	0.2365103	0.2365103	0.03000948	7.881189	
TIL04-TIP454.bam	TIL09_FC61694AAXX.bam	TIL15_FC6144GAAXX.bam	1045	1146	-0.04609767	-0.04609767	0.03156494	-1.460407	
TIL07_FC6162DAAXX.bam	TIL09_FC61694AAXX.bam	TIL15_FC6144GAAXX.bam	1047	955	0.04595405	0.04595405	0.03176969	1.446474	
TIL01_435BCAAXX.bam	TIL11_FC61694AAXX.bam	TIL15_FC6144GAAXX.bam	636	635	0.0007867821	0.0007867821	0.03676793	0.0213986	
TIL03.bam	TIL11_FC61694AAXX.bam	TIL15_FC6144GAAXX.bam	833	630	0.138756	0.138756	0.03309213	4.19302	
TIL04-TIP454.bam	TIL11_FC61694AAXX.bam	TIL15_FC6144GAAXX.bam	689	936	-0.152	-0.152	0.03308569	-4.594132	
TIL07_FC6162DAAXX.bam	TIL11_FC61694AAXX.bam	TIL15_FC6144GAAXX.bam	693	772	-0.05392491	-0.05392491	0.03346188	-1.611533	
TIL09_FC61694AAXX.bam	TIL11_FC61694AAXX.bam	TIL15_FC6144GAAXX.bam	828	989	-0.08860759	-0.08860759	0.03305299	-2.680774	
TIL01_435BCAAXX.bam	TIL16_FC6153UAAXX.bam	TIL15_FC6144GAAXX.bam	549	485	0.06189555	0.06189555	0.04005356	1.545319	
TIL03.bam	TIL16_FC6153UAAXX.bam	TIL15_FC6144GAAXX.bam	695	442	0.2225154	0.2225154	0.03783339	5.881455	
TIL04-TIP454.bam	TIL16_FC6153UAAXX.bam	TIL15_FC6144GAAXX.bam	553	598	-0.03909644	-0.03909644	0.03972342	-0.9842163	
TIL07_FC6162DAAXX.bam	TIL16_FC6153UAAXX.bam	TIL15_FC6144GAAXX.bam	667	601	0.05205047	0.05205047	0.03761958	1.383601	
TIL09_FC61694AAXX.bam	TIL16_FC6153UAAXX.bam	TIL15_FC6144GAAXX.bam	652	628	0.01875	0.01875	0.03772111	0.4970691	
TIL11_FC61694AAXX.bam	TIL16_FC6153UAAXX.bam	TIL15_FC6144GAAXX.bam	430	407	0.02747909	0.02747909	0.04294265	0.639902	
TIL01_435BCAAXX.bam	TIL17_FC6153UAAXX.bam	TIL15_FC6144GAAXX.bam	450	391	0.07015458	0.07015458	0.04204332	1.668626	
TIL03.bam	TIL17_FC6153UAAXX.bam	TIL15_FC6144GAAXX.bam	665	416	0.2303423	0.2303423	0.03692048	6.238875	
TIL04-TIP454.bam	TIL17_FC6153UAAXX.bam	TIL15_FC6144GAAXX.bam	414	443	-0.03383897	-0.03383897	0.04205127	-0.8047075	
TIL07_FC6162DAAXX.bam	TIL17_FC6153UAAXX.bam	TIL15_FC6144GAAXX.bam	570	466	0.1003861	0.1003861	0.0383638	2.616688	
TIL09_FC61694AAXX.bam	TIL17_FC6153UAAXX.bam	TIL15_FC6144GAAXX.bam	570	568	0.001757469	0.001757469	0.03811094	0.04611456	
TIL11_FC61694AAXX.bam	TIL17_FC6153UAAXX.bam	TIL15_FC6144GAAXX.bam	453	390	0.0747331	0.0747331	0.04149655	1.800947	
TIL16_FC6153UAAXX.bam	TIL17_FC6153UAAXX.bam	TIL15_FC6144GAAXX.bam	366	339	0.03829787	0.03829787	0.04701837	0.81453	
TIL01_435BCAAXX.bam	TIL03.bam	TIL16_FC6153UAAXX.bam	448	362	0.1061728	0.1061728	0.044695	2.375497	
TIL01_435BCAAXX.bam	TIL04-TIP454.bam	TIL16_FC6153UAAXX.bam	485	312	0.217064	0.217064	0.04270331	5.083072	
TIL03.bam	TIL04-TIP454.bam	TIL16_FC6153UAAXX.bam	603	486	0.107438	0.107438	0.04017113	2.674508	
TIL01_435BCAAXX.bam	TIL07_FC6162DAAXX.bam	TIL16_FC6153UAAXX.bam	439	326	0.1477124	0.1477124	0.04598569	3.212139	
TIL03.bam	TIL07_FC6162DAAXX.bam	TIL16_FC6153UAAXX.bam	466	422	0.04954955	0.04954955	0.04346872	1.13989	
TIL04-TIP454.bam	TIL07_FC6162DAAXX.bam	TIL16_FC6153UAAXX.bam	387	498	-0.1254237	-0.1254237	0.04260917	-2.943585	
TIL01_435BCAAXX.bam	TIL09_FC61694AAXX.bam	TIL16_FC6153UAAXX.bam	465	355	0.1341463	0.1341463	0.04328979	3.098799	
TIL03.bam	TIL09_FC61694AAXX.bam	TIL16_FC6153UAAXX.bam	462	455	0.007633588	0.007633588	0.0423542	0.1802321	
TIL04-TIP454.bam	TIL09_FC61694AAXX.bam	TIL16_FC6153UAAXX.bam	469	588	-0.1125828	-0.1125828	0.03953318	-2.847805	
TIL07_FC6162DAAXX.bam	TIL09_FC61694AAXX.bam	TIL16_FC6153UAAXX.bam	478	515	-0.03726083	-0.03726083	0.04215225	-0.8839582	
TIL01_435BCAAXX.bam	TIL11_FC61694AAXX.bam	TIL16_FC6153UAAXX.bam	466	212	0.3746313	0.3746313	0.04393003	8.527909	
TIL03.bam	TIL11_FC61694AAXX.bam	TIL16_FC6153UAAXX.bam	534	328	0.2389791	0.2389791	0.04411289	5.417444	
TIL04-TIP454.bam	TIL11_FC61694AAXX.bam	TIL16_FC6153UAAXX.bam	472	367	0.125149	0.125149	0.04370598	2.863429	
TIL07_FC6162DAAXX.bam	TIL11_FC61694AAXX.bam	TIL16_FC6153UAAXX.bam	529	332	0.2288037	0.2288037	0.04300369	5.32056	
